clinic_id,location_ny,location_nj,location_ct,location_virtual,location_home,clinic_individual,clinic_chain,clinic_hospital,clinic_med_spa,clinic_telehealth,clinic_home,rater,visits_person,visits_virtual,visits_home,visits_d_nspecify,types_drugs,form_infusion,form_injection,form_oral,form_nasal,form_d_nspecify,degree,cost,insurance,depression,bipolar_disorder,ocd,ptsd,anxiety,schizophrenia,sud,eating_disorders,disorder_d_nspecify,promotional,benefits,citations,risk,other_adhd,other_stress_fatigue,other_autism,other_pain,other_parkinsons,other_stroke,other_ppd,other_end,other_headache,other_suicide,other_cancer,other_grief,other_lyme,other_sleep,other_leg,other_mh,other_sexual,other_tbi,other_pain_head,depressive_disorders,state
1,0,0,1,0,0,1,0,0,0,Telehealth No,0,3,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Single State
2,1,0,0,0,0,1,0,0,0,Telehealth No,0,3,1,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,Single State
3,0,1,0,0,0,0,1,0,0,Telehealth No,0,3,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Single State
4,1,0,0,1,0,1,0,0,0,Telehealth Yes,0,3,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Single State
5,0,0,1,0,0,1,0,0,0,Telehealth No,0,3,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,Single State
6,1,0,0,1,0,1,0,0,0,Telehealth Yes,0,3,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,Single State
7,0,1,0,0,0,1,0,0,0,Telehealth No,0,3,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,Single State
8,0,1,0,0,0,1,0,0,0,Telehealth No,0,3,1,0,0,0,1,1,0,0,1,0,1,1,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,Single State
9,1,0,0,0,0,1,0,0,0,Telehealth No,0,3,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Single State
10,1,0,0,1,0,1,0,0,0,Telehealth Yes,0,3,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Single State
11,1,0,0,0,0,1,0,0,0,Telehealth No,0,3,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Single State
12,1,1,0,1,0,0,0,0,0,Telehealth Yes,0,3,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,combination
13,1,0,0,0,0,1,0,0,0,Telehealth No,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Single State
14,1,0,1,1,0,1,0,0,0,Telehealth Yes,0,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,combination
15,1,0,0,0,0,1,0,0,0,Telehealth No,0,3,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Single State
16,1,0,0,1,0,0,1,0,0,Telehealth Yes,0,3,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Single State
17,0,0,0,1,0,1,0,0,0,Telehealth Yes,0,3,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,combination
18,1,0,0,1,0,1,0,0,0,Telehealth Yes,0,3,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Single State
19,1,0,0,0,0,1,0,0,0,Telehealth No,0,3,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Single State
20,0,0,1,0,0,1,0,0,0,Telehealth No,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Single State
21,1,0,0,0,0,1,0,0,0,Telehealth No,0,3,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Single State
22,1,0,1,1,0,0,0,0,0,Telehealth Yes,0,3,0,1,0,0,0,1,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,combination
23,1,0,0,0,0,1,0,0,0,Telehealth No,0,3,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,Single State
24,1,0,1,0,0,0,1,0,0,Telehealth No,0,3,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,combination
25,1,0,0,0,0,1,0,0,0,Telehealth No,0,3,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Single State
26,1,0,0,1,0,1,0,0,0,Telehealth Yes,0,3,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Single State
27,1,0,0,1,0,1,0,0,0,Telehealth Yes,0,3,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Single State
28,1,0,0,1,0,1,0,0,0,Telehealth Yes,0,3,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Single State
